"Row_no" "Date" "Detrended_demand_GWh"
"974" "1977-08-31" "752"
"975" "1977-09-01" "749"
"976" "1977-09-02" "742"
"977" "1977-09-03" "735"
"978" "1977-09-04" "735"
"979" "1977-09-05" "728"
"980" "1977-09-06" "739"
"981" "1977-09-07" "736"
"982" "1977-09-08" "759"
"983" "1977-09-09" "752"
"984" "1977-09-10" "741"
"985" "1977-09-11" "741"
"986" "1977-09-12" "730"
"987" "1977-09-13" "752"
"988" "1977-09-14" "752"
"989" "1977-09-15" "747"
"990" "1977-09-16" "755"
"991" "1977-09-17" "764"
"992" "1977-09-18" "763"
"993" "1977-09-19" "772"
"994" "1977-09-20" "797"
"995" "1977-09-21" "812"
"996" "1977-09-22" "804"
"997" "1977-09-23" "777"
"998" "1977-09-24" "759"
"999" "1977-09-25" "759"
"1000" "1977-09-26" "741"
"1001" "1977-09-27" "759"
"1002" "1977-09-28" "763"
"1003" "1977-09-29" "771"
"1004" "1977-09-30" "777"
"1005" "1977-10-01" "786"
"1006" "1977-10-02" "786"
"1007" "1977-10-03" "795"
"1008" "1977-10-04" "807"
"1009" "1977-10-05" "814"
"1010" "1977-10-06" "822"
